us,Red,IR,Ratio,Ambient,Vel,Accel,Notes
455596297,227,189,1.2011,1215,0.264,0.0244,
455659288,1328,588,2.2585,1022,0.104,-0.0157,
455721287,174,172,1.0116,2074,-0.1247,-0.0229,
455783287,28,299,0.0936,2143,-0.0918,0.0033,
455968296,-1712,-917,1.867,2328,0.3181,0.0382,
456091586,-1712,-917,1.867,2328,0.3181,0.0382,
456153693,116,117,0.9915,2137,0.089,0.0024,
456218057,116,117,0.9915,2137,0.089,0.0024,
456280286,123,82,1.5,2071,-0.208,-0.0435,
456342287,123,82,1.5,2071,-0.208,-0.0435,
456595284,865,554,1.5614,1495,0.2136,0.0078,
456658284,865,554,1.5614,1495,0.2136,0.0078,
456844291,92,89,1.0337,2001,0.1048,-0.1084,
456908284,92,89,1.0337,2001,0.1048,-0.1084,
457031294,92,89,1.0337,2001,0.1048,-0.1084,
457094283,92,89,1.0337,2001,0.1048,-0.1084,
457156290,92,89,1.0337,2001,0.1048,-0.1084,
457219284,92,89,1.0337,2001,0.1048,-0.1084,
457282284,92,89,1.0337,2001,0.1048,-0.1084,
457344284,92,89,1.0337,2001,0.1048,-0.1084,
457534285,299,244,1.2254,1984,0.2139,0.0036,
457595285,318,261,1.2184,1496,-0.0007,-0.0215,
457719285,314,249,1.261,1845,2.2328,0.4461,
457782530,329,324,1.0154,1952,-0.0235,-0.2162,
458094611,329,324,1.0154,1952,-0.0235,-0.2162,
458156285,836,719,1.1627,1158,0.0972,0.0014,
458217285,162,173,0.9364,1373,-0.0226,-0.012,
458280285,162,173,0.9364,1373,-0.0226,-0.012,
458343286,162,173,0.9364,1373,-0.0226,-0.012,
458656136,162,173,0.9364,1373,-0.0226,-0.012,
458726155,162,173,0.9364,1373,-0.0226,-0.012,
458912136,162,173,0.9364,1373,-0.0226,-0.012,
458976890,162,173,0.9364,1373,-0.0226,-0.012,
459294936,162,173,0.9364,1373,-0.0226,-0.012,
459356136,162,173,0.9364,1373,-0.0226,-0.012,
459417290,162,173,0.9364,1373,-0.0226,-0.012,
459608430,162,173,0.9364,1373,-0.0226,-0.012,
459794290,255,397,0.6423,1998,0.0777,-0.2603,
459856290,255,397,0.6423,1998,0.0777,-0.2603,
459983290,255,397,0.6423,1998,0.0777,-0.2603,
460105290,60,119,0.5042,1692,0.0784,0.014,
460293281,100,209,0.4785,2159,0.1828,0.0036,
460356292,100,209,0.4785,2159,0.1828,0.0036,
460479290,134,289,0.4637,1777,0.2207,0.0613,
460733285,134,289,0.4637,1777,0.2207,0.0613,
460795284,134,289,0.4637,1777,0.2207,0.0613,
460858296,134,289,0.4637,1777,0.2207,0.0613,
460919294,134,289,0.4637,1777,0.2207,0.0613,
460980285,134,289,0.4637,1777,0.2207,0.0613,
461042285,134,289,0.4637,1777,0.2207,0.0613,
461104284,74,216,0.3426,2045,-0.2086,-0.0436,
461231284,74,216,0.3426,2045,-0.2086,-0.0436,
461355284,74,216,0.3426,2045,-0.2086,-0.0436,
461613285,74,216,0.3426,2045,-0.2086,-0.0436,
461674283,74,216,0.3426,2045,-0.2086,-0.0436,
461741849,74,216,0.3426,2045,-0.2086,-0.0436,
461987285,74,216,0.3426,2045,-0.2086,-0.0436,
462117294,74,216,0.3426,2045,-0.2086,-0.0436,
462178284,74,216,0.3426,2045,-0.2086,-0.0436,
462302284,73,171,0.4269,2192,0.2474,0.3429,
462611285,80,259,0.3089,1994,0.0388,0.0004,
462741292,80,259,0.3089,1994,0.0388,0.0004,
462803285,43,117,0.3675,2228,-0.1394,-0.0658,
463053284,43,117,0.3675,2228,-0.1394,-0.0658,
463115284,43,117,0.3675,2228,-0.1394,-0.0658,
463177285,43,117,0.3675,2228,-0.1394,-0.0658,
463239284,146,291,0.5017,1523,-0.1034,-0.0167,
463365284,127,352,0.3608,1405,0.073,0.0155,
463615460,127,352,0.3608,1405,0.073,0.0155,
463677284,127,352,0.3608,1405,0.073,0.0155,
463738283,127,352,0.3608,1405,0.073,0.0155,
463989284,127,352,0.3608,1405,0.073,0.0155,
464243330,127,352,0.3608,1405,0.073,0.0155,
464368290,127,352,0.3608,1405,0.073,0.0155,
464556559,127,352,0.3608,1405,0.073,0.0155,
464618285,127,352,0.3608,1405,0.073,0.0155,
464742289,127,352,0.3608,1405,0.073,0.0155,
465054286,108,242,0.4463,1693,0.7591,0.1444,
